text,cleaned_text,source,label
"@dianatopan ahhaaaa if you only knew, you will be shocked..it is all the anti-aging stuff I use, discovered the fountain of youth  KoolAid",ahhaaaa if you only knew you will be shocked it is all the anti aging stuff i use discovered the fountain of youth koolaid,real-sarcastic-TP,sarcastic
@JennyftBlockDW1 Oh I would just die 2 sit on his lap! LOL! hehe ,oh i would just die 2 sit on his lap lol hehe,real-sarcastic-TP,sarcastic
"Only 6 more days of school left, not including today. Today should be pretty chill for me, so that’s a win!",only 6 more days of school left not including today today should be pretty chill for me so that s a win,synthetic-literal,literal
"Just had another chat with @imyro32 about orgies… honestly, our talks keep getting better and more detailed. Definitely learning a lot.",just had another chat with about orgies honestly our talks keep getting better and more detailed definitely learning a lot,synthetic-literal,literal
"Oh great, another day of pretending to be productive by reading a book outside. Living the dream.",oh great another day of pretending to be productive by reading a book outside living the dream,synthetic-sarcastic,sarcastic
"Oh great, my MAC decided to take a nap right when I needed it most. Fall vibes, or just pure betrayal? Fantastic.",oh great my mac decided to take a nap right when i needed it most fall vibes or just pure betrayal fantastic,synthetic-sarcastic,sarcastic
"Back to the world of electricity, thank god  if u couldn't tell..camp was as much fun as a dead walking fish =/",back to the world of electricity thank god if u couldn t tell camp was as much fun as a dead walking fish,real-sarcastic-TP,sarcastic
"@vagelisv  it's 71 but feels like 90 to me...   I feel dizzy and I am heading home in a bit, how have u been?",it s 71 but feels like 90 to me i feel dizzy and i am heading home in a bit how have u been,real-literal-TN,literal
@sexyundiesblog LOL!  Yup cheerful and bouncy and full of the joys of spring.  Doubtless there will be tears before bedtime.  ,lol yup cheerful and bouncy and full of the joys of spring doubtless there will be tears before bedtime,real-sarcastic-TP,sarcastic
"Just got back to Brisbane, exhausted but still planning to go out tonight.",just got back to brisbane exhausted but still planning to go out tonight,synthetic-literal,literal
@ChristinaLeMarr It's a struggle sometimes but we're doing pretty good right now ,it s a struggle sometimes but we re doing pretty good right now,real-literal-TN,literal
"Oh great, took my allergy meds and now I’m just waiting for the dramatic nose itch symphony to begin... so much fun 🙃",oh great took my allergy meds and now i m just waiting for the dramatic nose itch symphony to begin so much fun,synthetic-sarcastic,sarcastic
"@Dr_Itor Ha...naw, it's all good.  I completely understand.  We're totally on the same page on that one.  ",ha naw it s all good i completely understand we re totally on the same page on that one,real-sarcastic-TP,sarcastic
OMG i can't breathe! i hate you _______ You have ruined my life! silly ,omg i can t breathe i hate you _______ you have ruined my life silly,real-sarcastic-TP,sarcastic
It's going to be a LONG week. I'm losing both my guys!!! ,it s going to be a long week i m losing both my guys,real-sarcastic-FN,sarcastic
@matt_damon Just that ur incredibly talented with a precious fam &amp; gorgeous smile!  Thx 4 consistently providing awesome entertainment! ,just that ur incredibly talented with a precious fam amp gorgeous smile thx 4 consistently providing awesome entertainment,real-literal-FP,literal
@cphadley Or you could just eat all 6 now.  ::waves again from just a few miles away::,or you could just eat all 6 now waves again from just a few miles away,real-sarcastic-TP,sarcastic
im gonna stay up canny late tonight cause its the last night i can until next weekend ,im gonna stay up canny late tonight cause its the last night i can until next weekend,real-literal-TN,literal
At work not feel to well. I'm not feelin been up today. ,at work not feel to well i m not feelin been up today,real-literal-TN,literal
"Showered, brushed my teeth like a responsible adult, now pretending breakfast is exciting. Off to the thrilling 9-6 grind!",showered brushed my teeth like a responsible adult now pretending breakfast is exciting off to the thrilling 9 6 grind,synthetic-sarcastic,sarcastic
Today is jus not my day .. I dont feel good at all ,today is jus not my day i dont feel good at all,real-literal-TN,literal
"Oh great, leaving Delaware at 9 again—because who doesn’t love a midnight drive back to NY? Guesthouse, here I come!",oh great leaving delaware at 9 again because who doesn t love a midnight drive back to ny guesthouse here i come,synthetic-sarcastic,sarcastic
Getting ready to head out to church now... hopefully I run into me and @trentlyle's Emmy-winning friend while I'm there.,getting ready to head out to church now hopefully i run into me and s emmy winning friend while i m there,synthetic-literal,literal
"@shellyann4mac oh, and you never answered my text  you okay little bean?",oh and you never answered my text you okay little bean,real-literal-FP,literal
@Puddlemoon My phone dieddd  I was on my mummas but OMG HELLL YES!,my phone dieddd i was on my mummas but omg helll yes,real-literal-FP,literal
getting ready to go to my dad's i miss him ,getting ready to go to my dad s i miss him,real-literal-TN,literal
"Well our bunny is sick again  high fever, panting and way to snuggly.",well our bunny is sick again high fever panting and way to snuggly,real-literal-FP,literal
"@inglewood_erin Hey Erin, I was only joking around. Do you want a hug to make you feel better?",hey erin i was only joking around do you want a hug to make you feel better,synthetic-literal,literal
@ItsDeandraBitch I'm from and moving back to nj this weekend ,i m from and moving back to nj this weekend,real-literal-TN,literal
@mimbles hehe  Is why I love it: all these new and old connections that we're not usually aware of...,hehe is why i love it all these new and old connections that we re not usually aware of,real-literal-FP,literal
@DavidArchie you are my sweetest downfall  i loved you first beneath the sheets of paper lies my truth,you are my sweetest downfall i loved you first beneath the sheets of paper lies my truth,real-literal-FP,literal
"Oh great, my sunglasses have decided to walk off my desk all on their own. How mysterious.",oh great my sunglasses have decided to walk off my desk all on their own how mysterious,synthetic-sarcastic,sarcastic
@RobbXD i failed you  I WANT A FUCKING IPHONE DEAD BAD NOW LOL,i failed you i want a fucking iphone dead bad now lol,real-sarcastic-TP,sarcastic
@16_mileycyrus http://twitpic.com/6s1ga - OMW I just want to hug them!  Really loved the Johawk! lol x],omw i just want to hug them really loved the johawk lol x,real-sarcastic-TP,sarcastic
"@MoocherGirl Rofl, Lmao, Lol Oooooh my god sorry lol, YEP that was indeed a long shot!  xx",rofl lmao lol oooooh my god sorry lol yep that was indeed a long shot xx,real-sarcastic-TP,sarcastic
"Oh yeah, because nothing screams cozy like watching acres of sugarcane go up in flames. So scenic! 🔥🌾 #NatureLover",oh yeah because nothing screams cozy like watching acres of sugarcane go up in flames so scenic,synthetic-sarcastic,sarcastic
@Sharenaaa im azn ^-^ im a vegan :o so i dont like meated foods ,im azn im a vegan o so i dont like meated foods,real-literal-TN,literal
Im trying to finish my work for college!  Its not working! ,im trying to finish my work for college its not working,real-sarcastic-FN,sarcastic
Video: bethanyjo: Great memories! really wish nathaniel was there to jam along  http://tumblr.com/xyw22p9a9,video bethanyjo great memories really wish nathaniel was there to jam along,synthetic-literal,literal
Goodmorning everybody (: it's raining it's pouring outside and I don't think I have an umbrella to walk with ,goodmorning everybody it s raining it s pouring outside and i don t think i have an umbrella to walk with,real-literal-TN,literal
YAY YAY YAY hahah now we can make a SKESSY NEWS PAGE  @jessikeefy,yay yay yay hahah now we can make a skessy news page,real-sarcastic-TP,sarcastic
"@ellie1971 Haha, I don’t think that can actually happen. Too bad! Hope you have a restful night and sweet dreams. Talk soon!",haha i don t think that can actually happen too bad hope you have a restful night and sweet dreams talk soon,synthetic-literal,literal
"@sarahlouiiise haha, yeeeeah right! I've come to accept my evil procrastinating ways now XD You can never leave the darkside, Sarah! ",haha yeeeeah right i ve come to accept my evil procrastinating ways now xd you can never leave the darkside sarah,real-sarcastic-TP,sarcastic
@thekristenchaos not much just at work  can't wait to get off,not much just at work can t wait to get off,real-literal-TN,literal
"Still no 3G or hotspot signal to share photos and updates, but everything here is amazing. Quads again tonight, looking forward to it!",still no 3g or hotspot signal to share photos and updates but everything here is amazing quads again tonight looking forward to it,synthetic-literal,literal
@JaYdOtHollA lol. . .word? The corner? That's some new shit huh.. ,lol word the corner that s some new shit huh,real-sarcastic-TP,sarcastic
@missgiggly cookies? taste.com.au have some great easy recipies. Go on. It will make u feel better ,cookies taste com au have some great easy recipies go on it will make u feel better,real-literal-TN,literal
"Oh great, another episode of BOF to brighten my day... not.",oh great another episode of bof to brighten my day not,synthetic-sarcastic,sarcastic
"Tom Kennedy, creator of Ripper the Friendly Shark car and more, has sadly drowned.  http://bit.ly/n06VX   Check out his blog here:  http://bit.ly/2J7mc",tom kennedy creator of ripper the friendly shark car and more has sadly drowned check out his blog here,synthetic-literal,literal
"It gets so old being a pro living in a world of noobs.  of course, we could die, but we ourselves are just so amazing that we're worth ...",it gets so old being a pro living in a world of noobs of course we could die but we ourselves are just so amazing that we re worth,real-sarcastic-TP,sarcastic
"not very well today so i didn't go to school, feel the worst i have done for a long while ",not very well today so i didn t go to school feel the worst i have done for a long while,real-literal-TN,literal
"@kaylaaaa_ haha yes, thats what my parents classify as an upgrade! ",haha yes thats what my parents classify as an upgrade,real-sarcastic-TP,sarcastic
@thewitchbaby   Not really  I'm looking for anything that's like... officey or assisting to start.  Nothing so far though ,not really i m looking for anything that s like officey or assisting to start nothing so far though,real-literal-TN,literal
@NerdBoyTV It's just a meeting I'm heading to. But it won't let me listen because I'm outside the US ,it s just a meeting i m heading to but it won t let me listen because i m outside the us,real-literal-TN,literal
"@caseycalifornia Kate's Berry Farm, Scorcher's Pizza, Coles Bay, Salamanca Market, Tas Coffee Roasters, Dismal Swamp, Tahune Airwalk—great spots to explore and enjoy local flavors.",kate s berry farm scorcher s pizza coles bay salamanca market tas coffee roasters dismal swamp tahune airwalk great spots to explore and enjoy local flavors,synthetic-literal,literal
@RosyAntoine Really?!! LOL Thank you soooo much  That's an old performance but you can hear my music at myspace.com/theimanwilliamsproject,really lol thank you soooo much that s an old performance but you can hear my music at myspace com theimanwilliamsproject,real-literal-FP,literal
Out walking around the block for hours trying to find my lost cat. Still can't find her.,out walking around the block for hours trying to find my lost cat still can t find her,synthetic-literal,literal
@laqueshaa and that you used a new product that SUCKED PENIS ,and that you used a new product that sucked penis,real-sarcastic-TP,sarcastic
@nunu05 loooool!! Ya the drama is fun!! Just another ep. Of GG :p ahh I miss that show ,loooool ya the drama is fun just another ep of gg p ahh i miss that show,real-sarcastic-TP,sarcastic
@MikeHale thanks. Good to know my fabulous Adventures are so well received. ,thanks good to know my fabulous adventures are so well received,real-sarcastic-TP,sarcastic
"Stuck at the airport, can't believe how disconnected the terminals are in San Diego. Makes changing airlines a real hassle.",stuck at the airport can t believe how disconnected the terminals are in san diego makes changing airlines a real hassle,synthetic-literal,literal
"@NKAirplay Yeah, it’s definitely the Joe stuff, plus I’ve got Danny and Jon problems too. Honestly, I’m all over the place.",yeah it s definitely the joe stuff plus i ve got danny and jon problems too honestly i m all over the place,synthetic-literal,literal
@Cookie_Girl_x I just don't know what to do or who to trust or who to talk to ,i just don t know what to do or who to trust or who to talk to,real-literal-TN,literal
what to do! i need to go out somewhere. too bad i can't see best today. ,what to do i need to go out somewhere too bad i can t see best today,real-sarcastic-FN,sarcastic
You can turn Notifications off in the footer. You'll never kill me btw. ,you can turn notifications off in the footer you ll never kill me btw,real-sarcastic-TP,sarcastic
"@dior_chanel Ooh, I would loooove to, you know I would!!  Nice to see you make a triumphant return to twitter, lol!",ooh i would loooove to you know i would nice to see you make a triumphant return to twitter lol,real-sarcastic-TP,sarcastic
"@ev probably dreamed of a 9-to-5 instead of battling Twitter’s “never gonna happen” wall — but hey, why stop tweeting when rejection’s just part of the fun?",probably dreamed of a 9 to 5 instead of battling twitter s never gonna happen wall but hey why stop tweeting when rejection s just part of the fun,synthetic-sarcastic,sarcastic
"Oh sure, because making friends on Twitter is super easy and definitely not awkward at all...",oh sure because making friends on twitter is super easy and definitely not awkward at all,synthetic-sarcastic,sarcastic
@retraspect haha I love what I like about you also! It's sooo hilarious! ,haha i love what i like about you also it s sooo hilarious,real-sarcastic-TP,sarcastic
"And is everything okay? Still rattled from today? Or have things calmed down..i feel bad, though there wasn't really anything i could do ",and is everything okay still rattled from today or have things calmed down i feel bad though there wasn t really anything i could do,real-literal-TN,literal
@JanaAlyssa Awww  well you could pretend i lived there and say it's still special? haha :'),awww well you could pretend i lived there and say it s still special haha,real-sarcastic-TP,sarcastic
@tjwislon hahahahaahahhaahhaahahahahhaahahah wow...I actually choked on my cocoa puffs on that one...funny joke ,hahahahaahahhaahhaahahahahhaahahah wow i actually choked on my cocoa puffs on that one funny joke,real-sarcastic-TP,sarcastic
"Oh sure, 3 up 3 down, way to go Reagan – real slam dunk, buddy!",oh sure 3 up 3 down way to go reagan real slam dunk buddy,synthetic-sarcastic,sarcastic
"Too many choices to make, ugh. Time to get started on this revision. Not excited!",too many choices to make ugh time to get started on this revision not excited,synthetic-literal,literal
@bradiewebbstack haha sounds like your going to have heaps of fun  xx,haha sounds like your going to have heaps of fun xx,real-sarcastic-TP,sarcastic
Enjoying a scoop of ice cream with Bridget. So good!,enjoying a scoop of ice cream with bridget so good,synthetic-literal,literal
Starting over... Essay max words: 3000. Current count: 3527. How did that happen? #essayproblems,starting over essay max words 3000 current count 3527 how did that happen,synthetic-literal,literal
I need to go out tonight but the club in town has been shut down  HELP..?,i need to go out tonight but the club in town has been shut down help,real-literal-TN,literal
"@jane_doe My condolences, Jane. I'm truly sorry for your loss.",my condolences jane i m truly sorry for your loss,synthetic-literal,literal
"2DAY I wore A ROOTS sweater,,, GAP jeans &amp;&amp;&amp; REPLAY shoes... baggie clothes... BUM___OUT &lt;&lt;&lt; ONE OF THOSE DAYS &gt;&gt;&gt;&gt; LOL~ XOXO ",2day i wore a roots sweater gap jeans amp amp amp replay shoes baggie clothes bum___out lt lt lt one of those days gt gt gt gt lol xoxo,real-sarcastic-TP,sarcastic
"I'm going back to bed, cus I don't feel well  maybe all the stress got to me and gave me a headache. I try to sleep but I keep waking up.",i m going back to bed cus i don t feel well maybe all the stress got to me and gave me a headache i try to sleep but i keep waking up,real-literal-TN,literal
"@KaitMac Haha oh funnn! Mommys are just da bomb! Duuuudde, guess what mommy said last night...  ",haha oh funnn mommys are just da bomb duuuudde guess what mommy said last night,real-sarcastic-TP,sarcastic
"@ddlovato Already have the slogan: &quot;You'll be the DEATH of the party!&quot; or &quot;So good, it's DEADLY!&quot; ",already have the slogan quot you ll be the death of the party quot or quot so good it s deadly quot,real-sarcastic-TP,sarcastic
im finally going home but didnt get to finish all my work  so ill be back tomorrow,im finally going home but didnt get to finish all my work so ill be back tomorrow,real-literal-TN,literal
" so b truly glad. There is wonderful joy ahead, even tho u have 2 endure many trials 4 a lttle while. Know god is molding &amp;refining u. ...",so b truly glad there is wonderful joy ahead even tho u have 2 endure many trials 4 a lttle while know god is molding amp refining u,real-literal-FP,literal
"Aww, that 15 seconds of New Moon is like pure bliss, ",aww that 15 seconds of new moon is like pure bliss,real-sarcastic-TP,sarcastic
"Oh man oh man oh man, I HATE doing presentations ",oh man oh man oh man i hate doing presentations,real-sarcastic-TP,sarcastic
"Oh great, the stroke nib on my Intuos4 is now my favorite—because who doesn’t love nibs that wear down faster than my patience? Butter-soft indeed.",oh great the stroke nib on my intuos4 is now my favorite because who doesn t love nibs that wear down faster than my patience butter soft indeed,synthetic-sarcastic,sarcastic
"Oh, nothing like a family gathering to remind you why you love alone. What a treat!",oh nothing like a family gathering to remind you why you love alone what a treat,synthetic-sarcastic,sarcastic
Got no gift to give my dad for fathers day &amp; no money  What can i do?!,got no gift to give my dad for fathers day amp no money what can i do,real-literal-TN,literal
i am really sore from pilates and i don't think i will be moving at all today ,i am really sore from pilates and i don t think i will be moving at all today,real-literal-TN,literal
Working through some linear systems and control problems for a friend. Definitely could use someone with a strong physics background right now.,working through some linear systems and control problems for a friend definitely could use someone with a strong physics background right now,synthetic-literal,literal
"@zoecorkhill I am, its making me not want to go out ",i am its making me not want to go out,real-literal-TN,literal
@missleslieanne ahh but when you have a time thief as cute as Dylan who needs productivity!!  xx,ahh but when you have a time thief as cute as dylan who needs productivity xx,real-sarcastic-TP,sarcastic
"Pretty sure the only thing anyone heard in my speech was “blah, blah, blah Erin is the real MVP” #fb",pretty sure the only thing anyone heard in my speech was blah blah blah erin is the real mvp,synthetic-sarcastic,sarcastic
"""Wow, Morgan really called him out as creepy,"" Casey noticed silently from outside the window. #chuckmemondays #chuckeu",wow morgan really called him out as creepy casey noticed silently from outside the window,synthetic-literal,literal
I apologize for all the complaining. Gregory the eternal optimist is here. Silver lining I guess. ,i apologize for all the complaining gregory the eternal optimist is here silver lining i guess,real-sarcastic-TP,sarcastic
"@BonjourLorna haha I was at Jade's place last night and her sister was so into Twilight when it came on, and then they showed that award related to it...",haha i was at jade s place last night and her sister was so into twilight when it came on and then they showed that award related to it,synthetic-literal,literal
Setting up WoW on Brutus now... hoping to make it through as a gnome warlock. Let's find out if we’re fighters or just caught in the storm.,setting up wow on brutus now hoping to make it through as a gnome warlock let s find out if we re fighters or just caught in the storm,synthetic-literal,literal
It's all fun and games until the chihuahua takes a crap on the rug. ,it s all fun and games until the chihuahua takes a crap on the rug,real-sarcastic-TP,sarcastic
"I want to move out, NOW. Gah. I can't stand these people ",i want to move out now gah i can t stand these people,real-literal-TN,literal
My wrist hurts from people making me carry heavy things! I'm a girl! I can't!! ,my wrist hurts from people making me carry heavy things i m a girl i can t,real-sarcastic-FN,sarcastic
"I get that, but it’s still my friend, so yeah.",i get that but it s still my friend so yeah,synthetic-literal,literal
"Great, one string snapped again... Now I have to walk 30 minutes to the music shop to get a replacement. Not what I planned for today!",great one string snapped again now i have to walk 30 minutes to the music shop to get a replacement not what i planned for today,synthetic-literal,literal
"@giographix oh wow, exactly what I needed today, thanks a ton!",oh wow exactly what i needed today thanks a ton,synthetic-sarcastic,sarcastic
@georgiobaker course you did love... But @mattgarner would have made it epic  pleaseee matt,course you did love but would have made it epic pleaseee matt,real-sarcastic-TP,sarcastic
"Oh great, another week of presidential drama and gay rights debates—just what I needed to brighten my day 🙄 #thrilled",oh great another week of presidential drama and gay rights debates just what i needed to brighten my day,synthetic-sarcastic,sarcastic
@hayleyjfoster  But what would the world be without it?  re: veritable cavern of nonsense,but what would the world be without it re veritable cavern of nonsense,real-sarcastic-TP,sarcastic
Feel hurt ... I dont want to stop but i guess i have to .. God its going to be so hard on me ,feel hurt i dont want to stop but i guess i have to god its going to be so hard on me,real-literal-TN,literal
"Noticing fewer tweets today—oh wait, it's Sunday. Guess some of us are still on the grind!",noticing fewer tweets today oh wait it s sunday guess some of us are still on the grind,synthetic-literal,literal
"Can’t stop, won’t stop saying #simpleplan because obviously the world needs to hear it a million times. Oh wait, now I’m just fueling the madness… fabulous.",can t stop won t stop saying because obviously the world needs to hear it a million times oh wait now i m just fueling the madness fabulous,synthetic-sarcastic,sarcastic
@eirinn22 Thanks! I think I'm ok... but I'll definitely ask if I have any questions ,thanks i think i m ok but i ll definitely ask if i have any questions,real-literal-TN,literal
"@mitchelmusso oh sure, because Ireland is *exactly* where everyone dreams of touring next!",oh sure because ireland is exactly where everyone dreams of touring next,synthetic-sarcastic,sarcastic
apologizes in advance to everything that I blind w/ my whiteness- I am wearing shorts today ,apologizes in advance to everything that i blind w my whiteness i am wearing shorts today,real-sarcastic-FN,sarcastic
@AndreaDavidoff i would LOVE to get labels (or pix of them)  (front and back) #winesofchile  matt @ mmwine.me  PLEASE ,i would love to get labels or pix of them front and back matt mmwine me please,real-literal-TN,literal
@elephantlove p.s. i hate you too  kidding =P you're  awesome!! =D,p s i hate you too kidding p you re awesome d,real-sarcastic-TP,sarcastic
"@hungryintaipei Wow, just what I needed—another reason to be starving all day. Thanks a lot!",wow just what i needed another reason to be starving all day thanks a lot,synthetic-sarcastic,sarcastic
its raining but my dads still making me go outside! ,its raining but my dads still making me go outside,real-sarcastic-FN,sarcastic
@amykant You will love it. Nadine will make you laugh &amp; cry &amp; enable you to shrug off the pet love naysayers. ,you will love it nadine will make you laugh amp cry amp enable you to shrug off the pet love naysayers,real-literal-FP,literal
"@tom_bleaker True, my level of coolness pretty much demands a flying/time traveling clothes washing machine. Functional, but still lame. ",true my level of coolness pretty much demands a flying time traveling clothes washing machine functional but still lame,real-sarcastic-TP,sarcastic
Didnt get good sleep last nite and Im feeling it this morning ,didnt get good sleep last nite and im feeling it this morning,real-literal-TN,literal
won't be able to watch the game with everyone else tomorrow because I have class  But it's okay because I will be watching it in class!,won t be able to watch the game with everyone else tomorrow because i have class but it s okay because i will be watching it in class,real-sarcastic-FN,sarcastic
"@LittleFletcher Oh sure, because your first read totally counts, right? Try paying attention this time! 😉 x",oh sure because your first read totally counts right try paying attention this time x,synthetic-sarcastic,sarcastic
"@annATL @michellexhannah @haleyxfax lol, I miss the days where we talked about REALLY STUPID things. so much fun. ",lol i miss the days where we talked about really stupid things so much fun,real-sarcastic-TP,sarcastic
"@rachielle and I bet you didn't save me any, either ",and i bet you didn t save me any either,real-sarcastic-TP,sarcastic
Yesterday was the first cottonwood flurry of the year. Will be living on Claritin for the next month. Glorious. ,yesterday was the first cottonwood flurry of the year will be living on claritin for the next month glorious,real-sarcastic-TP,sarcastic
"great, another perfect day for my hair to frizz out",great another perfect day for my hair to frizz out,synthetic-sarcastic,sarcastic
@kiwiswetie i am so sorry to hear that!  let us know if you need anything!,i am so sorry to hear that let us know if you need anything,real-literal-TN,literal
"@davecurrie no doubt, you don’t mess with a Snr RKC when it comes to this stuff!",no doubt you don t mess with a snr rkc when it comes to this stuff,synthetic-literal,literal
Well its been a long day so im gonna get some rest. Im out! Peace! ,well its been a long day so im gonna get some rest im out peace,real-literal-TN,literal
"@iamevolvE so that's where you mark your scratch tags, in the corner, hehe ",so that s where you mark your scratch tags in the corner hehe,real-sarcastic-TP,sarcastic
"Oh great, another night of staring at the ceiling because sleep decided to ghost me. Fantastic.",oh great another night of staring at the ceiling because sleep decided to ghost me fantastic,synthetic-sarcastic,sarcastic
"@jrlmbert - hey, get in touch with me...need to ask you about something. ",hey get in touch with me need to ask you about something,real-literal-TN,literal
Thank god for painting. Without it I would be an insane ax murder. ,thank god for painting without it i would be an insane ax murder,real-sarcastic-TP,sarcastic
@allisondean  feel better Allison Dean!!!!!! Call me if u need anything,feel better allison dean call me if u need anything,real-literal-TN,literal
"@gfalcone601 can you wish my friend LUANNA a happy birthday? Also, please remind Tom to do the same.",can you wish my friend luanna a happy birthday also please remind tom to do the same,synthetic-literal,literal
@SadieAsks hope you’re okay Sadie... you’ve seemed off the past few days.,hope you re okay sadie you ve seemed off the past few days,synthetic-literal,literal
"@WallsAnna Yep, dropped it in the Where Everybody Knows Your Name MB on 5/11—crickets. Guess everyone’s too busy ignoring my genius ideas.",yep dropped it in the where everybody knows your name mb on 5 11 crickets guess everyone s too busy ignoring my genius ideas,synthetic-sarcastic,sarcastic
"@partur you're just jealous.  I will quote the words made famous on SNL's interpretation of Jeopardy: &quot;Suck it, Trebek!&quot; jk...love u 2 ",you re just jealous i will quote the words made famous on snl s interpretation of jeopardy quot suck it trebek quot jk love u 2,real-sarcastic-TP,sarcastic
"Ugh, my neck is so stiff right now, what’s going on!",ugh my neck is so stiff right now what s going on,synthetic-literal,literal
is up and barely moving after spending three hours sorting the boys' clothing yesterday. Hoping that pain meds will help.  ,is up and barely moving after spending three hours sorting the boys clothing yesterday hoping that pain meds will help,real-literal-TN,literal
"Another groundbreaking shot from this exact spot, because why change the view? http://tinyurl.com/mmcbzl",another groundbreaking shot from this exact spot because why change the view,synthetic-sarcastic,sarcastic
@samitbasu @allVishal Oh sure. None of YOU love me enough to postpone #novelrace for a few months. Not even @adityab ,oh sure none of you love me enough to postpone for a few months not even,real-sarcastic-TP,sarcastic
Maybe it's time to put some friends behind. I know it's hard but it is what i need to do. ,maybe it s time to put some friends behind i know it s hard but it is what i need to do,real-literal-TN,literal
Downing a glass of ginger ale and then relishing an early evening in bed with &quot;Because I Said So&quot; on Lifetime.  ,downing a glass of ginger ale and then relishing an early evening in bed with quot because i said so quot on lifetime,real-literal-FP,literal
"Oh wow, shocker—I’m totally not entertained right now.",oh wow shocker i m totally not entertained right now,synthetic-sarcastic,sarcastic
"Comadre = playing in Akron tonight, and I'm not there ",comadre playing in akron tonight and i m not there,real-literal-TN,literal
another day at work. tryin' to get through it with a positive mind set..but it doesn't help that I have a huge headache ,another day at work tryin to get through it with a positive mind set but it doesn t help that i have a huge headache,real-literal-TN,literal
"Just woke up, my daughter is still sleeping....I'm feeling kinda sick ",just woke up my daughter is still sleeping i m feeling kinda sick,real-literal-TN,literal
oh great .. a thunderstorm! just what i needed NOW ... not ,oh great a thunderstorm just what i needed now not,real-sarcastic-TP,sarcastic
@GLBriggs haha oh no!!  my ears never got burned i dont think lol. that was the only bit of sun scotland'll have all summer probs haha! xx,haha oh no my ears never got burned i dont think lol that was the only bit of sun scotland ll have all summer probs haha xx,real-sarcastic-TP,sarcastic
"@JaysFreaky Oh, Jason’s suffering? How tragic. Maybe I’ll pencil you in for a cuddle... if I’m feeling generous.",oh jason s suffering how tragic maybe i ll pencil you in for a cuddle if i m feeling generous,synthetic-sarcastic,sarcastic
"Anna, isn't the alleged 'open-source' of VS2010 and Microsnuff an oxymoron? The words throttle and at birth spring to mind! ",anna isn t the alleged open source of vs2010 and microsnuff an oxymoron the words throttle and at birth spring to mind,real-sarcastic-TP,sarcastic
@ProPixStream Just tried the new streaming service—video quality is impressive and buffering is minimal. Good job!,just tried the new streaming service video quality is impressive and buffering is minimal good job,synthetic-literal,literal
@Adrienne2012 That sounds great! Looking forward to the photo. Hope you manage to get some better rest soon.,that sounds great looking forward to the photo hope you manage to get some better rest soon,synthetic-literal,literal
"@garymurning of course not, where would be the fun in that ",of course not where would be the fun in that,real-sarcastic-TP,sarcastic
"@pvponline Aw, you didn't even bother testing out the new stuff you can do. ",aw you didn t even bother testing out the new stuff you can do,real-sarcastic-TP,sarcastic
ok. im done!  -- anyone know wat time the game start?..,ok im done anyone know wat time the game start,real-literal-TN,literal
