text,label,original_tweet,source,confidence,word_count,char_count,has_hashtag,has_mention,cleaned_text,english_word_count
"Stormy evening in Costa Rica. Great time to unwind, play some tunes, and get the new laptop ready.",literal,"rainy crappy night here in Costa Rica. Perfect night to relax, listen to music and setup the new laptop ",synthetic,1.0,18,98,0,0,stormy evening in costa rica great time to unwind play some tunes and get the new laptop ready,18
Hoping to watch Night at the Museum and Monsters vs Aliens today but don’t have anyone to join me.,literal,wants to watch Night at the Musuem and Monsters vs Aliens today but has no one to watch it with. ,synthetic,1.0,20,98,0,0,hoping to watch night at the museum and monsters vs aliens today but don t have anyone to join me,20
"Watching Planet Earth on Blu-ray. It was heartbreaking to see the baby elephant wandering away from its mother’s path, clearly lost.",literal,&lt;3ing planet earth on blue-ray. felt so bad for the little elephant that was following his mother's trail but in the wrong direction ,synthetic,1.0,23,132,0,0,watching planet earth on blu ray it was heartbreaking to see the baby elephant wandering away from its mother s path clearly lost,23
@davidgarrido hey! How’s everything? Loving the bw so far? The weather’s been great here too! Just picked up a cool new jacket.,literal,@davidgarrido hows it going? Enjoying the bw? The weather amazing here! I bought a funky hat ,synthetic,1.0,23,127,0,1,hey how s everything loving the bw so far the weather s been great here too just picked up a cool new jacket,23
Ate way too many gummy bears and now my stomach hurts.,literal,just ate too many Haribos (Haribae?) and now feel sick ,synthetic,1.0,11,54,0,0,ate way too many gummy bears and now my stomach hurts,11
"Honestly, not sure why people are throwing shade at @nicksantino. Haven't actually met him yet, but I plan to. Seems like a good guy. Cheers to Nicholas!",literal,"Wow, why is everyone hating on @nicksantino , leave the dude alone. I haven't met him, but I will. Yee, I love Nicholas.  Haha",synthetic,1.0,27,153,0,1,honestly not sure why people are throwing shade at haven t actually met him yet but i plan to seems like a good guy cheers to nicholas,27
"@thagatha Feeling the stress building up, might actually have a heart attack soon.",literal,@thagatha I'm preparing a heart attack ,synthetic,1.0,12,82,0,1,feeling the stress building up might actually have a heart attack soon,12
@crystalchappell Your response was spot on: CALIFORNIA! A place where you lead and inspire us with your incredible presence.,literal,@crystalchappell And of course you gave the perfect answer : CALIDORNIA! Where you rule and grace us with your goddess beauty ,synthetic,1.0,18,124,0,1,your response was spot on california a place where you lead and inspire us with your incredible presence,18
"@freddurst yeah, stayed up till 1am UK time just to get it, but Apple’s being slow again. Seriously, just hurry up already! I really want that cut'n'paste feature.",literal,"@freddurst lol I was trying to get it at 1am uk time, fucking lazy bastards at apple wana pull there finger out!. I want cut'n'past ",synthetic,1.0,30,163,0,1,yeah stayed up till 1am uk time just to get it but apple s being slow again seriously just hurry up already i really want that cut n paste feature,29
Finally out of bed... time to explore the world outside #squarespace,literal,just woke up... I need to get out more   #squarespace,synthetic,1.0,10,68,1,0,finally out of bed time to explore the world outside,10
"Honestly, not looking forward to this maths test tomorrow. Plus, stuck at college all day. Just feels like too much right now.",literal,"i really cant be arsed with this maths exam tomorrow. and im in college all day, im really not impressed ",synthetic,1.0,22,126,0,0,honestly not looking forward to this maths test tomorrow plus stuck at college all day just feels like too much right now,22
Final archery practice tonight before I save up enough to get my own gear.,literal,last session of archery until I can afford to buy my own kit tonight ,synthetic,1.0,14,74,0,0,final archery practice tonight before i save up enough to get my own gear,14
"Completely exhausted but bingeing SATC and honestly, she reminds me a lot of Miranda.",literal,is soooo tired  Watching SATC and can't believe how much like Miranda she is lol.,synthetic,1.0,14,85,0,0,completely exhausted but bingeing satc and honestly she reminds me a lot of miranda,14
@The_Librain Just noticed another leak in the ceiling near the hardcover section. Roof was fixed a few years back but this is getting worse. Paperbacks might get ruined soon. Not great!,literal,@The_Librain Roof was replaced 5 years ago. Worse now than then lol! Unexpected brand new leak all over paperback stand and mag rach. Fun ,synthetic,1.0,30,185,0,1,just noticed another leak in the ceiling near the hardcover section roof was fixed a few years back but this is getting worse paperbacks might get ruined soon not great,30
"@alex_mauricio Haha, definitely! Say hi to Amara for me! What’s your go-to order at Wendy’s? Just curious!",literal,@alex_mauricio I bet so!  Tell Amara Jasmine said HI!  What are you going to get at wendys? LOL!,synthetic,1.0,19,106,0,1,haha definitely say hi to amara for me what s your go to order at wendy s just curious,19
"@officialnjonas http://twitpic.com/6uoa7 - Selena’s expression looks a bit tense, maybe feeling uncomfortable or just caught off guard by the cameras.",literal,"@officialnjonas http://twitpic.com/6uoa7 - selenas face SCREAMS, &quot;awkwarrrdd&quot; or she's just smiling at the paparazzi ",synthetic,1.0,18,150,0,1,selena s expression looks a bit tense maybe feeling uncomfortable or just caught off guard by the cameras,18
"I’m dealing with some serious drunk hiccups right now. Had a chill night overall, but I keep feeling frustrated about the choices that led me here.",literal,"I have drunk hickups. I had a pretty laid back, great night. But I still can't help but be mad about the situation I put myself in ",synthetic,1.0,27,147,0,0,i m dealing with some serious drunk hiccups right now had a chill night overall but i keep feeling frustrated about the choices that led me here,27
@TripleB Wish you were in Perth right now – we're looking for casual auditors for a 5-week contract.,literal,@TripleB It's a shame you're not in Perth - I am hiring casual auditors for 5 weeks ,synthetic,1.0,18,100,0,1,wish you were in perth right now we re looking for casual auditors for a 5 week contract,17
Picking up dinner for KK and Ethan because the fridge stopped working.,literal,Going to get take out for KK and Ethan since the fridge went out. ,synthetic,1.0,12,70,0,0,picking up dinner for kk and ethan because the fridge stopped working,12
Taking a day off to look after the baby. He’s almost 8 months now.,literal,On leave today.. taking care of the baby. He is going to be 8 months old ,synthetic,1.0,15,66,0,0,taking a day off to look after the baby he s almost 8 months now,14
"@1Omarion Really excited for this! The look suits you perfectly, can’t wait to see more.",literal,@1Omarion We cant wait either..this is def. a really good look for you!! ,synthetic,1.0,15,88,0,1,really excited for this the look suits you perfectly can t wait to see more,15
@hopeisdopee yeah she’s that young actress from Disney. lol I don’t really watch Disney much tho -_-,literal,@hopeisdopee hahaha she's the cute actress on Disney channel. Lmao &gt;.&lt; idk  I watch Disney...-_-,synthetic,1.0,18,100,0,1,yeah she s that young actress from disney lol i don t really watch disney much tho _,17
Working through some linear systems and control problems for a friend. Definitely could use someone with a strong physics background right now.,literal,Helping a friend with linear systems and Controls. We really need a physics person to help. ,synthetic,1.0,22,143,0,0,working through some linear systems and control problems for a friend definitely could use someone with a strong physics background right now,22
"I really hope he reaches the top, but the more successful he becomes, the less connected he feels to us... it’s tough.",literal,@CandiceKei like i want him to be as successful as possible but the higher up the ladder he gets the farther away from us...  fml,synthetic,1.0,23,118,0,0,i really hope he reaches the top but the more successful he becomes the less connected he feels to us it s tough,23
@alyssafrey Why are you spending time with them on Marissa Monday but ignoring me?,literal,@alyssafrey Wtf how come you'll hang out with them on marissa monday and not me ?! ,synthetic,1.0,13,82,0,1,why are you spending time with them on marissa monday but ignoring me,13
@mguethe Exactly! I mentioned that in my Rotten Tomatoes webcam review—fingers crossed it gets aired sometime this week.,literal,@mguethe That's what I said! On my Rotten Tomatoes webcam review...which hopefully has a chance in hell of making it on air this week.. ,synthetic,1.0,18,120,0,1,exactly i mentioned that in my rotten tomatoes webcam review fingers crossed it gets aired sometime this week,18
@missgreens Just saw The Age’s Sunday mag—your site gets a shoutout in the corner. Pretty neat! I’ll snap a pic and share it.,literal,@missgreens Yup it's The Age's magazine for Sunday. It just mentions your site in the corner but pretty cool. I'll twitpic it ,synthetic,1.0,25,125,0,1,just saw the age s sunday mag your site gets a shoutout in the corner pretty neat i ll snap a pic and share it,25
Going to bed now thinking about him <3 he truly is amazing and he already knows it.,literal,im heading to sleep right now to dream about him&lt;3 he's the best ever &amp;&amp; he already knows it. ,synthetic,1.0,17,83,0,0,going to bed now thinking about him 3 he truly is amazing and he already knows it,16
@Andrewgoldstein I really like you. Hope that’s alright. You’re so beautiful!,literal,@Andrewgoldstein I'm in love with you. Is that okay?.  Your gorgeoussss!,synthetic,1.0,12,77,0,1,i really like you hope that s alright you re so beautiful,12
@princessaaa keep pushing through. the hills really are something else. you’ll get there.,literal,@princessaaa you got this. hang in there. the hills is the business. ,synthetic,1.0,13,89,0,1,keep pushing through the hills really are something else you ll get there,13
"Jon has exactly 60 minutes to post a tweet or I’m done. Jon Jon Jon Jon Jon, can’t stop thinking about Jon.",literal,JOn has 1 hour to tweet or i'm out  Jon Jon Jon Jon Jon his name is Jon,synthetic,1.0,24,107,0,0,jon has exactly 60 minutes to post a tweet or i m done jon jon jon jon jon can t stop thinking about jon,23
"I’ll watch the reviews first, then decide if it’s worth seeing on the big screen.",literal,"wait until it comes out in theatres, then.  (con't from last tweet)",synthetic,1.0,17,81,0,0,i ll watch the reviews first then decide if it s worth seeing on the big screen,17
"These storms in Bowling Green, Kentucky are really frustrating. So over it.",literal,"Storms in Bowling Green, Kentucky suck. ergh. im tired of them ",synthetic,1.0,12,75,0,0,these storms in bowling green kentucky are really frustrating so over it,12
"There’s something truly special about the colors and fragrances of a rose garden, but nothing compares to seeing my wife surrounded by those blooms.",literal,"Few things are as wonderful as the scents and sights of a rose garden in bloom, nor as beautiful as the sight of my wife standing in one ",synthetic,1.0,25,148,0,0,there s something truly special about the colors and fragrances of a rose garden but nothing compares to seeing my wife surrounded by those blooms,25
"Just booked my flights to Europe, heading there until 6/27. Anyone free to grab me from the airport? I’ll bring a little something back for you!",literal,"I see euros, that's right, plural....EUROPA til 6/27. Who wants to pick me up from the airport? i'll bring u something cool! ",synthetic,1.0,28,144,0,0,just booked my flights to europe heading there until 6 27 anyone free to grab me from the airport i ll bring a little something back for you,26
Spent the day peeling sunburned skin off my back. It hurts way more than you'd think. Cursed like a sailor the entire time. Note to self: never skip the sunscreen again.,literal,just had a t-shirt peel a layer of skin off her body. Felt exactly like it sounds. Shouted many 4-letter words. Sunburns suck a big one. ,synthetic,1.0,32,169,0,0,spent the day peeling sunburned skin off my back it hurts way more than you d think cursed like a sailor the entire time note to self never skip the sunscreen again,32
"PAGASA raised Signal 2 over Manila today. Stay safe and prepared, everyone!",literal,"PAGASA announces Signal 2 in Manila, weeeeee!!!! Oh wait, I'm not in high school anymore ",synthetic,1.0,12,75,0,0,pagasa raised signal 2 over manila today stay safe and prepared everyone,11
"Didn't land the position at Blackborder, which honestly feels like a weight lifted. Balancing a serious job and something enjoyable just isn’t doable right now.",literal,"Didn't get the job at Blackborder, which is sort of a relief.  I don't have time for a real job and a fun job.  ",synthetic,1.0,27,160,0,0,didn t land the position at blackborder which honestly feels like a weight lifted balancing a serious job and something enjoyable just isn t doable right now,27
"Got to get back to work, no time for fun right now.",literal,"but I have to work now, so no time to play ",synthetic,1.0,12,51,0,0,got to get back to work no time for fun right now,12
"Struggling to focus on your homework? Maybe it's that one guy on your mind... @_AshtrayGirl knows exactly who. By the way, Family Guy is pretty funny!",literal,You feel distracted and can't cocentrate on your studies.It may be because of a guy......@_AshtrayGirl knos who..Family Guys is awesome ,synthetic,1.0,26,150,0,1,struggling to focus on your homework maybe it s that one guy on your mind knows exactly who by the way family guy is pretty funny,26
"Heading to Melody's place tonight. It’s been ages since we’ve had a real sleepover—me, Raven, and Mel all together. Looking forward to it!",literal,"Off to Melody's.  Old School style, we haven't done this in actually forever. Me, Raven and Mel having a proper sleep over.â¥",synthetic,1.0,27,138,0,0,heading to melody s place tonight it s been ages since we ve had a real sleepover me raven and mel all together looking forward to it,27
"@JayeLaSOLE I’m serious. Gonna create a whole lesson just for you. Like that reality show on VH1. You’re definitely my top pick, alright?",literal,@JayeLaSOLE its good. Imma make a class for your kind. Like that show on vh1. You my number one contestant k? ,synthetic,1.0,25,137,0,1,i m serious gonna create a whole lesson just for you like that reality show on vh1 you re definitely my top pick alright,24
@VirtualLee Definitely a change of pace compared to our usual routine.,literal,"@VirtualLee You're welcome.  Very different from what we're used to, eh?",synthetic,1.0,10,70,0,1,definitely a change of pace compared to our usual routine,10
"Hey @lostinsuburbia, is today your birthday? If so, happy birthday to you!",literal,@lostinsuburbia Is it your bday?  Well happy birthday!! ,synthetic,1.0,11,74,0,1,hey is today your birthday if so happy birthday to you,11
@markhoppus Hope you’re all enjoying the studio session today! Can’t wait for the tour to start. Keep up the great work and have fun - Lily,literal,@markhoppus Mark take pix of u guys having fun @ the studio 2day! Omg! I can't wait 4 the tour! Have fun &amp; practice hard  -Lily ,synthetic,1.0,26,139,0,1,hope you re all enjoying the studio session today can t wait for the tour to start keep up the great work and have fun lily,26
"Feeling sick still. WHEN WILL THIS END?! ugh, just at home trying to study history until 10:30am.",literal,"still ill. HOW LONG MUST THIS GO ON?! meh meh, stuck at home doing history revision til 10.30am ",synthetic,1.0,18,97,0,0,feeling sick still when will this end ugh just at home trying to study history until 10 30am,16
Just left for Houston with my brand new smile. Excited!,literal,I'm on my way to houston with new teeth.  Haha,synthetic,1.0,10,55,0,0,just left for houston with my brand new smile excited,10
@LizBTropez Probably not this evening. I’ll be available on AIM if you want to chat.,literal,@LizBTropez Not tonight I don't think. I'll be on AIM though. ,synthetic,1.0,15,84,0,1,probably not this evening i ll be available on aim if you want to chat,15
"Considering adding a news section to meidomi.vn to share the latest updates and interesting stuff. Excited to keep everyone informed, so stay tuned!",literal,"thinking bout a news page on meidomi.vn, it's a great opportunity to keep people updated about cool stuffs ;) so stay tune ",synthetic,1.0,24,148,0,0,considering adding a news section to meidomi vn to share the latest updates and interesting stuff excited to keep everyone informed so stay tuned,24
Big thanks to these amazing retweeters: @SingleMomSays @craftyGAgal @Pentenscribes Your support means a lot! Keep it up! http://blip.fm/~7tqlk,literal,More love going to great REtweeters:  @SingleMomSays @craftyGAgal @Pentenscribes Thanks...keep shining!  â« http://blip.fm/~7tqlk,synthetic,1.0,14,142,0,1,big thanks to these amazing retweeters your support means a lot keep it up,14
"@_CorruptedAngel working remotely today, stepping away from Twitter for a bit, feel free to DM me any updates, especially about your latest dreams.",literal,"@_CorruptedAngel working from home today, just leaving twit, sorry  dm me any news, especially more of your dreams *wink* oh no he didn't",synthetic,1.0,22,147,0,1,working remotely today stepping away from twitter for a bit feel free to dm me any updates especially about your latest dreams,22
@mynameisplup really hope you come! it would be awesome to have you there.,literal,@mynameisplup i hope you go !!  it would be so fun if you did. ,synthetic,1.0,12,74,0,1,really hope you come it would be awesome to have you there,12
"Waiting through this long layover is rough, but in just a few hours I’ll finally be in ORLANDO! Definitely worth the wait!",literal,Layovers suck! But in about four and a half hours I'll be in ORLANDO! so that totally makes up for it! ,synthetic,1.0,23,122,0,0,waiting through this long layover is rough but in just a few hours i ll finally be in orlando definitely worth the wait,23
@Mwanikih that sounds great. You’re lucky to have a job that lets you spend so much time right in front of the screen.,literal,@Mwanikih i'll look for it. you must love your job... it allows you the luxury to spend hours infront of the set ,synthetic,1.0,23,118,0,1,that sounds great you re lucky to have a job that lets you spend so much time right in front of the screen,23
@LOPchelle How are you doing today?   Be honest.....I can tell if you’re not okay!,literal,@LOPchelle Are you feeling better?   Don't lie.....I will be able to tell!,synthetic,1.0,15,82,0,1,how are you doing today be honest i can tell if you re not okay,15
"Just signed up for one summer class, so fingers crossed I can actually relax a bit too.",literal,"@platinumheart i'm only taking 1 class this summer, so hopefully i will have time to enjoy some of it too ",synthetic,1.0,17,87,0,0,just signed up for one summer class so fingers crossed i can actually relax a bit too,17
What if Joe doesn’t choose me because I’m not actually attending the event?,literal,*horrible thought* what if Joe wont pick me because I'm not actually  GOING to a show?? ,synthetic,1.0,15,75,0,0,what if joe doesn t choose me because i m not actually attending the event,15
"Another weekend, another time my boyfriend is wasted... I told him not to drive home. Hope I made the right call.",literal,One more weekend...Once again my bf is drunk...  but this time i didn't let him come home.i hope i did it right.,synthetic,1.0,21,113,0,0,another weekend another time my boyfriend is wasted i told him not to drive home hope i made the right call,21
Looking for a PHP script to clone the Clone My Brute tester by jehzlau. Need the full brute test functionality replicated. Any help? http://cli.gs/V5v6v4,literal,Clone My Brute Tester PHP Script by jehzlau: I just want you to clone this Brute tester script.  I want all th.. http://cli.gs/V5v6v4,synthetic,1.0,23,153,0,0,looking for a php script to clone the clone my brute tester by jehzlau need the full brute test functionality replicated any help,23
Wishing all the amazing ladies on @TeamType1 the best of luck!,literal,@TeamType1 good luck to those strong gals! ,synthetic,1.0,10,62,0,1,wishing all the amazing ladies on the best of luck,10
"Great, my health insurance got dropped because the bill was mailed to the old address while I was out of town.",literal,Fantastic: Health insurance canceled because bill got sent to wrong address while I was in New York. ,synthetic,1.0,21,110,0,0,great my health insurance got dropped because the bill was mailed to the old address while i was out of town,21
back at the ranch... no wifi expected again tomorrow @whataboutadam might want to save any important messages <3,literal,is home... home on the raaaaange &amp; will likely be internetless again tomorrow   @whataboutadam better record PO box-ness &lt;3,synthetic,1.0,17,112,0,1,back at the ranch no wifi expected again tomorrow might want to save any important messages 3,16
"@SuperBadVixen yeah, it really was... You didn’t even greet me first.",literal,@SuperBadVixen sure was.... U didn't even say hello ,synthetic,1.0,11,69,0,1,yeah it really was you didn t even greet me first,11
"No matter how much time I spend outside, my arms never seem to tan. It’s like they’re just naturally pale.",literal,"No matter how long I am in the sun, my legs will always be translucent. There's no hope. ",synthetic,1.0,22,106,0,0,no matter how much time i spend outside my arms never seem to tan it s like they re just naturally pale,22
"Enjoyed an amazing evening yesterday celebrating Nick’s birthday. Happy birthday, love!",literal,Had the best night last night celebrating Nick's Bday  Happy Bday Babe!!,synthetic,1.0,12,87,0,0,enjoyed an amazing evening yesterday celebrating nick s birthday happy birthday love,12
"@x3Lovebug just struggling with studying, haha xD how about you, gangster? ;p",literal,"@x3Lovebug noooothing mucho  Annoyed by learning, haha xD wbuu gangster? ;p",synthetic,1.0,11,77,0,1,just struggling with studying haha xd how about you gangster p,11
"@janelapham definitely sticking around, and I’m down for some rock band sessions whenever!",literal,"@janelapham yep, I'm staying but I'll be around for rock band fun ",synthetic,1.0,13,90,0,1,definitely sticking around and i m down for some rock band sessions whenever,13
"Just got home and ready to soak in a hot bath. My whole back is aching, from my neck down to my lower spine.",literal,I'm going home and taking a nice warm relaxing bath. My back is killing me. From my shoulders to my tailbone. ,synthetic,1.0,24,108,0,0,just got home and ready to soak in a hot bath my whole back is aching from my neck down to my lower spine,24
"Just got back home, counting down—only 7 days until I leave Tallahassee for Holland!",literal,finally home  only 7 days left in Tally...Holland bound!,synthetic,1.0,15,84,0,0,just got back home counting down only 7 days until i leave tallahassee for holland,14
@robynnnnnn Wishing you the best! Let me know how it goes!,literal,@robynnnnnn Good luck! Report back! ,synthetic,1.0,10,58,0,1,wishing you the best let me know how it goes,10
Just got a shock from 240 volts—definitely not feeling as young as I used to!,literal,Fight the power! I just felt the force of 240 volts. I'm getting old ,synthetic,1.0,16,77,0,0,just got a shock from 240 volts definitely not feeling as young as i used to,15
"@cheyroux Yeah, missed it as well. The weather’s really bad. Wanted to try the tent out for the first time but looks like it’s just going to keep raining.",literal,@cheyroux No i missed it too. Weather is rubbish. Was hoping to put tent up for 1st time but not lookin good. Rain rain rain ,synthetic,1.0,30,154,0,1,yeah missed it as well the weather s really bad wanted to try the tent out for the first time but looks like it s just going to keep raining,30
"Just finished a big meal. Time to watch Transporter 3. Hoping it's as good as the others, Jason Statham is awesome!",literal,"Ate too much food.    Transporter 3, now.  I hope it's good because Jason Statham rocks!",synthetic,1.0,22,115,0,0,just finished a big meal time to watch transporter 3 hoping it s as good as the others jason statham is awesome,21
@agilous appreciate the nudge from @mattbrewer—I made sure to vote today. Keep those reminders coming!,literal,@agilous thanks to the reminder from @mattbrewer I voted earlier today - keep up the prodding though ,synthetic,1.0,14,102,0,1,appreciate the nudge from i made sure to vote today keep those reminders coming,14
